Neuron1,Neuron2,BumpScore,Rank
n017_L_CA3_wire_5_cell_1,n117_R_CA3_wire_6_cell_1,4.235294117647059,1
n017_L_CA3_wire_5_cell_1,n069_R_CA1_wire_2_cell_1,4.021034180543383,2
n013_L_CA3_wire_4_cell_1,n017_L_CA3_wire_5_cell_1,3.907692307692309,3
n013_L_CA3_wire_4_cell_1,n069_R_CA1_wire_2_cell_1,3.72670807453416,4
n013_L_CA3_wire_4_cell_1,n117_R_CA3_wire_6_cell_1,3.608888888888889,5
n069_R_CA1_wire_2_cell_1,n117_R_CA3_wire_6_cell_1,3.318681318681319,6
n013_L_CA3_wire_4_cell_1,n014_L_CA3_wire_4_cell_2,1.7910802623001123,7
n014_L_CA3_wire_4_cell_2,n069_R_CA1_wire_2_cell_1,1.629849220546895,8
n014_L_CA3_wire_4_cell_2,n017_L_CA3_wire_5_cell_1,1.310353139689044,9
n014_L_CA3_wire_4_cell_2,n117_R_CA3_wire_6_cell_1,1.0169942546114306,10
